stimulus,aoi_index,aoi_content,fprt
goldfish-neg.text.0,88,get,0.0
goldfish-neg.text.0,89,him,0.0
goldfish-neg.text.0,90,to,0.0
goldfish-neg.text.0,91,"eat,",0.0
goldfish-neg.text.0,92,to,129.0
goldfish-neg.text.0,93,play,231.0
goldfish-neg.text.0,94,with,112.0
goldfish-neg.text.0,95,"him,",186.0
goldfish-neg.text.0,96,but,0.0
goldfish-neg.text.0,97,nothing,635.0
goldfish-neg.text.0,98,seemed,629.0
goldfish-neg.text.0,99,to,0.0
goldfish-neg.text.0,100,work.,399.0
goldfish-neg.text.0,101,She,636.0
goldfish-neg.text.0,102,knew,0.0
goldfish-neg.text.0,103,it,0.0
goldfish-neg.text.0,104,was,0.0
goldfish-neg.text.0,105,only,109.0
goldfish-neg.text.0,106,a,114.0
goldfish-neg.text.0,107,matter,117.0
goldfish-neg.text.0,108,of,0.0
goldfish-neg.text.0,109,time,102.0
goldfish-neg.text.0,110,before,165.0
goldfish-neg.text.0,111,he,128.0
goldfish-neg.text.0,112,would,308.0
goldfish-neg.text.0,113,be,0.0
goldfish-neg.text.0,114,gone.,0.0
goldfish-neg.text.1,115,One,168.0
goldfish-neg.text.1,116,"evening,",190.0
goldfish-neg.text.1,117,as,0.0
goldfish-neg.text.1,118,she,189.0
goldfish-neg.text.1,119,sat,175.0
goldfish-neg.text.1,120,by,0.0
goldfish-neg.text.1,121,the,199.0
goldfish-neg.text.1,122,"tank,",0.0
goldfish-neg.text.1,123,Finley,258.0
goldfish-neg.text.1,124,swam,185.0
goldfish-neg.text.1,125,up,0.0
goldfish-neg.text.1,126,to,0.0
goldfish-neg.text.1,127,the,265.0
goldfish-neg.text.1,128,glass,120.0
goldfish-neg.text.1,129,and,0.0
goldfish-neg.text.1,130,looked,349.0
goldfish-neg.text.1,131,at,0.0
goldfish-neg.text.1,132,her,206.0
goldfish-neg.text.1,133,with,490.0
goldfish-neg.text.1,134,his,184.0
goldfish-neg.text.1,135,"big,",140.0
goldfish-neg.text.1,136,round,212.0
goldfish-neg.text.1,137,eyes.,0.0
goldfish-neg.text.1,138,It,0.0
goldfish-neg.text.1,139,was,134.0
goldfish-neg.text.1,140,as,242.0
goldfish-neg.text.1,141,if,321.0
goldfish-neg.text.1,142,he,0.0
goldfish-neg.text.1,143,was,201.0
goldfish-neg.text.1,144,trying,183.0
goldfish-neg.text.1,145,to,0.0
goldfish-neg.text.1,146,tell,186.0
goldfish-neg.text.1,147,her,0.0
goldfish-neg.text.1,148,something.,123.0
goldfish-neg.text.1,149,Lily,212.0
goldfish-neg.text.1,150,felt,136.0
goldfish-neg.text.1,151,a,108.0
goldfish-neg.text.1,152,lump,0.0
goldfish-neg.text.1,153,form,104.0
goldfish-neg.text.1,154,in,0.0
goldfish-neg.text.1,155,her,520.0
goldfish-neg.text.1,156,throat,347.0
goldfish-neg.text.1,157,as,0.0
goldfish-neg.text.1,158,she,195.0
goldfish-neg.text.1,159,reached,191.0
goldfish-neg.text.1,160,out,279.0
goldfish-neg.text.1,161,her,234.0
goldfish-neg.text.1,162,hand,148.0
goldfish-neg.text.1,163,to,0.0
goldfish-neg.text.1,164,touch,208.0
goldfish-neg.text.1,165,the,270.0
goldfish-neg.text.1,166,glass.,135.0
goldfish-neg.text.1,167,To,134.0
goldfish-neg.text.1,168,her,130.0
goldfish-neg.text.1,169,"surprise,",247.0
goldfish-neg.text.1,170,Finley,174.0
goldfish-neg.text.1,171,swam,305.0
goldfish-neg.text.1,172,up,0.0
goldfish-neg.text.1,173,to,215.0
goldfish-neg.text.1,174,her,130.0
goldfish-neg.text.1,175,hand,274.0
goldfish-neg.text.1,176,and,218.0
goldfish-neg.text.1,177,nudged,165.0
goldfish-neg.text.1,178,it,0.0
goldfish-neg.text.1,179,gently,199.0
goldfish-neg.text.1,180,with,205.0
goldfish-neg.text.1,181,his,161.0
goldfish-neg.text.1,182,nose.,213.0
goldfish-neg.text.1,183,It,0.0
goldfish-neg.text.1,184,was,263.0
goldfish-neg.text.1,185,as,163.0
goldfish-neg.text.1,186,if,0.0
goldfish-neg.text.1,187,he,0.0
goldfish-neg.text.1,188,was,0.0
goldfish-neg.text.1,189,trying,111.0
goldfish-neg.text.1,190,to,124.0
goldfish-neg.text.1,191,lead,142.0
goldfish-neg.text.1,192,her,0.0
goldfish-neg.text.1,193,to,261.0
goldfish-neg.text.1,194,something.,285.0
goldfish-neg.text.1,195,Lily,0.0
goldfish-neg.text.1,196,looked,0.0
goldfish-neg.text.1,197,around,177.0
goldfish-neg.text.1,198,the,0.0
goldfish-neg.text.1,199,"room,",153.0
goldfish-neg.text.1,200,but,0.0
goldfish-neg.text.1,201,there,267.0
goldfish-neg.text.1,202,was,188.0
goldfish-neg.text.1,203,nothing,198.0
goldfish-neg.text.1,204,out,225.0
goldfish-neg.text.1,205,of,196.0
goldfish-neg.text.1,206,the,0.0
goldfish-neg.text.1,207,ordinary.,156.0
goldfish-neg.text.1,208,She,476.0
goldfish-neg.text.1,209,looked,106.0
goldfish-neg.text.1,210,back,0.0
goldfish-neg.text.1,211,at,133.0
goldfish-neg.text.1,212,"Finley,",0.0
goldfish-neg.text.1,213,and,0.0
goldfish-neg.text.1,214,that's,161.0
goldfish-neg.text.1,215,when,183.0
goldfish-neg.text.1,216,she,483.0
goldfish-neg.text.1,217,saw,0.0
goldfish-neg.text.1,218,it,156.0
goldfish-neg.text.1,219,-,0.0
goldfish-neg.text.1,220,a,0.0
goldfish-neg.text.1,221,small,236.0
goldfish-neg.text.1,222,note,112.0
goldfish-neg.text.1,223,on,0.0
goldfish-neg.text.1,224,the,282.0
goldfish-neg.text.1,225,edge,141.0
goldfish-neg.text.1,226,of,121.0
goldfish-neg.text.1,227,the,192.0
goldfish-neg.text.1,228,tank.,100.0
goldfish-neg.text.1,229,It,185.0
goldfish-neg.text.1,230,was,0.0
goldfish-neg.text.1,231,a,259.0
goldfish-neg.text.1,232,piece,586.0
goldfish-neg.text.1,233,of,0.0
goldfish-neg.text.1,234,paper,189.0
goldfish-neg.text.1,235,with,215.0
goldfish-neg.text.1,236,a,0.0
goldfish-neg.text.1,237,single,230.0
goldfish-neg.text.1,238,sentence,253.0
goldfish-neg.text.1,239,written,338.0
goldfish-neg.text.1,240,on,0.0
goldfish-neg.text.1,241,it:,0.0
goldfish-neg.text.1,242,"""Make",437.0
goldfish-neg.text.1,243,a,0.0
goldfish-neg.text.1,244,"wish,",162.0
goldfish-neg.text.1,245,and,166.0
goldfish-neg.text.1,246,I'll,0.0
goldfish-neg.text.1,247,make,0.0
goldfish-neg.text.1,248,it,0.0
goldfish-neg.text.1,249,come,424.0
goldfish-neg.text.1,250,"true.""",0.0
goldfish-neg.text.2,251,Lily's,150.0
goldfish-neg.text.2,252,heart,132.0
goldfish-neg.text.2,253,skipped,189.0
goldfish-neg.text.2,254,a,0.0
goldfish-neg.text.2,255,beat,136.0
goldfish-neg.text.2,256,as,0.0
goldfish-neg.text.2,257,she,104.0
goldfish-neg.text.2,258,read,136.0
goldfish-neg.text.2,259,the,153.0
goldfish-neg.text.2,260,note.,0.0
goldfish-neg.text.2,261,She,209.0
goldfish-neg.text.2,262,thought,167.0
goldfish-neg.text.2,263,about,207.0
goldfish-neg.text.2,264,all,161.0
goldfish-neg.text.2,265,the,273.0
goldfish-neg.text.2,266,things,0.0
goldfish-neg.text.2,267,she,169.0
goldfish-neg.text.2,268,could,188.0
goldfish-neg.text.2,269,wish,116.0
goldfish-neg.text.2,270,for,132.0
goldfish-neg.text.2,271,-,0.0
goldfish-neg.text.2,272,a,0.0
goldfish-neg.text.2,273,new,129.0
goldfish-neg.text.2,274,"bike,",124.0
goldfish-neg.text.2,275,a,0.0
goldfish-neg.text.2,276,trip,269.0
goldfish-neg.text.2,277,to,0.0
goldfish-neg.text.2,278,the,222.0
goldfish-neg.text.2,279,"beach,",463.0
goldfish-neg.text.2,280,a,183.0
goldfish-neg.text.2,281,new,221.0
goldfish-neg.text.2,282,pet,0.0
goldfish-neg.text.2,283,of,431.0
goldfish-neg.text.2,284,her,322.0
goldfish-neg.text.2,285,own.,167.0
goldfish-neg.text.2,286,But,273.0
goldfish-neg.text.2,287,as,171.0
goldfish-neg.text.2,288,she,0.0
goldfish-neg.text.2,289,looked,0.0
goldfish-neg.text.2,290,at,125.0
goldfish-neg.text.2,291,"Finley,",154.0
goldfish-neg.text.2,292,she,0.0
goldfish-neg.text.2,293,knew,144.0
goldfish-neg.text.2,294,exactly,362.0
goldfish-neg.text.2,295,what,0.0
goldfish-neg.text.2,296,she,226.0
goldfish-neg.text.2,297,wanted,142.0
goldfish-neg.text.2,298,to,137.0
goldfish-neg.text.2,299,wish,204.0
goldfish-neg.text.2,300,for.,0.0
goldfish-neg.text.2,301,"""I",0.0
goldfish-neg.text.2,302,wish,0.0
goldfish-neg.text.2,303,for,0.0
goldfish-neg.text.2,304,you,0.0
goldfish-neg.text.2,305,to,0.0
goldfish-neg.text.2,306,come,0.0
goldfish-neg.text.2,307,back,0.0
goldfish-neg.text.2,308,to,0.0
goldfish-neg.text.2,309,"life,""",128.0
goldfish-neg.text.2,310,she,0.0
goldfish-neg.text.2,311,"said,",398.0
goldfish-neg.text.2,312,her,0.0
goldfish-neg.text.2,313,voice,223.0
goldfish-neg.text.2,314,barely,178.0
goldfish-neg.text.2,315,above,389.0
goldfish-neg.text.2,316,a,0.0
goldfish-neg.text.2,317,whisper.,194.0
goldfish-neg.text.2,318,As,0.0
goldfish-neg.text.2,319,soon,0.0
goldfish-neg.text.2,320,as,0.0
goldfish-neg.text.2,321,she,0.0
goldfish-neg.text.2,322,spoke,0.0
goldfish-neg.text.2,323,the,0.0
goldfish-neg.text.2,324,"words,",138.0
goldfish-neg.text.2,325,the,0.0
goldfish-neg.text.2,326,room,433.0
goldfish-neg.text.2,327,seemed,270.0
goldfish-neg.text.2,328,to,0.0
goldfish-neg.text.2,329,fade,244.0
goldfish-neg.text.2,330,"away,",142.0
goldfish-neg.text.2,331,and,135.0
goldfish-neg.text.2,332,Lily,338.0
goldfish-neg.text.2,333,felt,244.0
goldfish-neg.text.2,334,a,0.0
goldfish-neg.text.2,335,strange,260.0
goldfish-neg.text.2,336,sensation,216.0
goldfish-neg.text.2,337,wash,296.0
goldfish-neg.text.2,338,over,339.0
goldfish-neg.text.2,339,her.,0.0
goldfish-neg.text.2,340,She,0.0
goldfish-neg.text.2,341,looked,469.0
goldfish-neg.text.2,342,back,186.0
goldfish-neg.text.2,343,at,0.0
goldfish-neg.text.2,344,the,204.0
goldfish-neg.text.2,345,"tank,",113.0
goldfish-neg.text.2,346,and,133.0
goldfish-neg.text.2,347,to,0.0
goldfish-neg.text.2,348,her,0.0
goldfish-neg.text.2,349,"amazement,",181.0
goldfish-neg.text.2,350,Finley,300.0
goldfish-neg.text.2,351,was,259.0
goldfish-neg.text.2,352,swimming,262.0
goldfish-neg.text.2,353,around,128.0
goldfish-neg.text.2,354,as,253.0
goldfish-neg.text.2,355,if,0.0
goldfish-neg.text.2,356,nothing,334.0
goldfish-neg.text.2,357,had,191.0
goldfish-neg.text.2,358,happened.,197.0
goldfish-neg.text.2,359,But,0.0
goldfish-neg.text.2,360,as,0.0
goldfish-neg.text.2,361,the,0.0
goldfish-neg.text.2,362,days,0.0
goldfish-neg.text.2,363,went,0.0
goldfish-neg.text.2,364,"by,",0.0
goldfish-neg.text.2,365,Lily,0.0
goldfish-neg.text.2,366,began,0.0
goldfish-neg.text.2,367,to,0.0
goldfish-neg.text.2,368,notice,0.0
goldfish-neg.text.2,369,that,0.0
goldfish-neg.text.2,370,something,0.0
goldfish-neg.text.2,371,was,0.0
goldfish-neg.text.2,372,off.,0.0
goldfish-neg.text.2,373,The,217.0
goldfish-neg.text.2,374,plants,393.0
goldfish-neg.text.2,375,in,0.0
goldfish-neg.text.3,376,the,153.0
goldfish-neg.text.3,377,room,0.0
goldfish-neg.text.3,378,were,214.0
goldfish-neg.text.3,379,growing,392.0
goldfish-neg.text.3,380,at,0.0
goldfish-neg.text.3,381,an,0.0
goldfish-neg.text.3,382,alarming,103.0
goldfish-neg.text.3,383,"rate,",131.0
goldfish-neg.text.3,384,and,0.0
goldfish-neg.text.3,385,the,221.0
goldfish-neg.text.3,386,air,171.0
goldfish-neg.text.3,387,was,0.0
goldfish-neg.text.3,388,filled,248.0
goldfish-neg.text.3,389,with,239.0
goldfish-neg.text.3,390,the,123.0
goldfish-neg.text.3,391,sweet,0.0
goldfish-neg.text.3,392,scent,0.0
goldfish-neg.text.3,393,of,150.0
goldfish-neg.text.3,394,blooming,224.0
goldfish-neg.text.3,395,flowers.,249.0
goldfish-neg.text.3,396,It,0.0
goldfish-neg.text.3,397,was,386.0
goldfish-neg.text.3,398,as,0.0
goldfish-neg.text.3,399,if,196.0
goldfish-neg.text.3,400,Finley's,491.0
goldfish-neg.text.3,401,wish,166.0
goldfish-neg.text.3,402,had,0.0
goldfish-neg.text.3,403,brought,449.0
goldfish-neg.text.3,404,new,159.0
goldfish-neg.text.3,405,life,0.0
goldfish-neg.text.3,406,to,142.0
goldfish-neg.text.3,407,the,0.0
goldfish-neg.text.3,408,world,0.0
goldfish-neg.text.3,409,around,114.0
goldfish-neg.text.3,410,her.,122.0
goldfish-neg.text.3,411,And,0.0
goldfish-neg.text.3,412,"then,",337.0
goldfish-neg.text.3,413,one,191.0
goldfish-neg.text.3,414,"morning,",162.0
goldfish-neg.text.3,415,Lily,0.0
goldfish-neg.text.3,416,woke,321.0
goldfish-neg.text.3,417,up,0.0
goldfish-neg.text.3,418,to,505.0
goldfish-neg.text.3,419,find,102.0
goldfish-neg.text.3,420,a,0.0
goldfish-neg.text.3,421,small,387.0
goldfish-neg.text.3,422,note,174.0
goldfish-neg.text.3,423,on,0.0
goldfish-neg.text.3,424,her,341.0
goldfish-neg.text.3,425,bedside,103.0
goldfish-neg.text.3,426,table.,104.0
goldfish-neg.text.3,427,It,0.0
goldfish-neg.text.3,428,was,203.0
goldfish-neg.text.3,429,the,0.0
goldfish-neg.text.3,430,same,139.0
goldfish-neg.text.3,431,note,331.0
goldfish-neg.text.3,432,she,0.0
goldfish-neg.text.3,433,had,216.0
goldfish-neg.text.3,434,seen,116.0
goldfish-neg.text.3,435,on,0.0
goldfish-neg.text.3,436,the,180.0
goldfish-neg.text.3,437,edge,261.0
goldfish-neg.text.3,438,of,0.0
goldfish-neg.text.3,439,the,259.0
goldfish-neg.text.3,440,"tank,",0.0
goldfish-neg.text.3,441,but,0.0
goldfish-neg.text.3,442,this,279.0
goldfish-neg.text.3,443,"time,",122.0
goldfish-neg.text.3,444,it,0.0
goldfish-neg.text.3,445,had,125.0
goldfish-neg.text.3,446,a,0.0
goldfish-neg.text.3,447,new,0.0
goldfish-neg.text.3,448,message:,463.0
goldfish-neg.text.3,449,"""I'm",0.0
goldfish-neg.text.3,450,not,255.0
goldfish-neg.text.3,451,just,115.0
goldfish-neg.text.3,452,a,0.0
goldfish-neg.text.3,453,"fish,",0.0
goldfish-neg.text.3,454,I'm,0.0
goldfish-neg.text.3,455,the,293.0
goldfish-neg.text.3,456,key,0.0
goldfish-neg.text.3,457,to,0.0
goldfish-neg.text.3,458,a,0.0
goldfish-neg.text.3,459,new,194.0
goldfish-neg.text.3,460,"world.""",270.0
goldfish-neg.text.3,461,As,0.0
goldfish-neg.text.3,462,Lily,395.0
goldfish-neg.text.3,463,looked,334.0
goldfish-neg.text.3,464,at,0.0
goldfish-neg.text.3,465,the,157.0
goldfish-neg.text.3,466,"note,",0.0
goldfish-neg.text.3,467,she,223.0
goldfish-neg.text.3,468,realized,115.0
goldfish-neg.text.3,469,that,0.0
goldfish-neg.text.3,470,Finley's,190.0
goldfish-neg.text.3,471,wish,225.0
goldfish-neg.text.3,472,had,278.0
goldfish-neg.text.3,473,been,175.0
goldfish-neg.text.3,474,more,114.0
goldfish-neg.text.3,475,than,0.0
goldfish-neg.text.3,476,just,278.0
goldfish-neg.text.3,477,a,0.0
goldfish-neg.text.3,478,simple,0.0
goldfish-neg.text.3,479,wish,118.0
goldfish-neg.text.3,480,-,0.0
goldfish-neg.text.3,481,it,153.0
goldfish-neg.text.3,482,had,0.0
goldfish-neg.text.3,483,been,121.0
goldfish-neg.text.3,484,a,0.0
goldfish-neg.text.3,485,doorway,409.0
goldfish-neg.text.3,486,to,0.0
goldfish-neg.text.3,487,a,0.0
goldfish-neg.text.3,488,new,216.0
goldfish-neg.text.3,489,reality.,482.0
goldfish-neg.text.3,490,And,0.0
goldfish-neg.text.3,491,as,191.0
goldfish-neg.text.3,492,she,501.0
goldfish-neg.text.3,493,looked,443.0
goldfish-neg.text.3,494,at,0.0
goldfish-neg.text.3,495,the,242.0
goldfish-neg.text.3,496,"tank,",469.0
goldfish-neg.text.3,497,she,0.0
goldfish-neg.text.3,498,knew,0.0
goldfish-neg.text.3,499,that,108.0
goldfish-neg.text.3,500,she,0.0
goldfish-neg.text.3,501,would,246.0
goldfish-neg.text.3,502,never,146.0
goldfish-neg.text.3,503,be,0.0
goldfish-neg.text.3,504,able,100.0
goldfish-neg.text.3,505,to,0.0
goldfish-neg.text.3,506,go,274.0
goldfish-neg.text.3,507,back,0.0
goldfish-neg.text.3,508,to,171.0
goldfish-neg.text.3,509,the,300.0
goldfish-neg.text.3,510,way,0.0
goldfish-neg.text.3,511,things,298.0
goldfish-neg.text.3,512,were,168.0
goldfish-neg.text.3,513,before.,220.0
breakfast-zero.text.0,0,Breakfast,173.0
breakfast-zero.text.0,1,with,245.0
breakfast-zero.text.0,2,a,144.0
breakfast-zero.text.0,3,Stranger,651.0
breakfast-zero.text.0,4,I,0.0
breakfast-zero.text.0,5,slid,0.0
breakfast-zero.text.0,6,into,126.0
breakfast-zero.text.0,7,the,221.0
breakfast-zero.text.0,8,"booth,",200.0
breakfast-zero.text.0,9,the,183.0
breakfast-zero.text.0,10,worn,368.0
breakfast-zero.text.0,11,vinyl,321.0
breakfast-zero.text.0,12,creaking,229.0
breakfast-zero.text.0,13,beneath,660.0
breakfast-zero.text.0,14,me.,240.0
breakfast-zero.text.0,15,The,141.0
breakfast-zero.text.0,16,diner,260.0
breakfast-zero.text.0,17,was,484.0
breakfast-zero.text.0,18,a,340.0
breakfast-zero.text.0,19,staple,135.0
breakfast-zero.text.0,20,in,388.0
breakfast-zero.text.0,21,this,0.0
breakfast-zero.text.0,22,small,232.0
breakfast-zero.text.0,23,"town,",214.0
breakfast-zero.text.0,24,a,0.0
breakfast-zero.text.0,25,place,216.0
breakfast-zero.text.0,26,where,170.0
breakfast-zero.text.0,27,everyone,237.0
breakfast-zero.text.0,28,knew,216.0
breakfast-zero.text.0,29,"everyone,",267.0
breakfast-zero.text.0,30,and,0.0
breakfast-zero.text.0,31,the,193.0
breakfast-zero.text.0,32,coffee,274.0
breakfast-zero.text.0,33,was,190.0
breakfast-zero.text.0,34,always,115.0
breakfast-zero.text.0,35,hot.,0.0
breakfast-zero.text.0,36,I,0.0
breakfast-zero.text.0,37,took,119.0
breakfast-zero.text.0,38,a,0.0
breakfast-zero.text.0,39,seat,232.0
breakfast-zero.text.0,40,at,271.0
breakfast-zero.text.0,41,the,0.0
breakfast-zero.text.0,42,counter,143.0
breakfast-zero.text.0,43,and,182.0
breakfast-zero.text.0,44,perused,244.0
breakfast-zero.text.0,45,the,159.0
breakfast-zero.text.0,46,"menu,",180.0
breakfast-zero.text.0,47,my,0.0
breakfast-zero.text.0,48,stomach,200.0
breakfast-zero.text.0,49,growling,269.0
breakfast-zero.text.0,50,in,171.0
breakfast-zero.text.0,51,anticipation,686.0
breakfast-zero.text.0,52,of,0.0
breakfast-zero.text.0,53,a,184.0
breakfast-zero.text.0,54,hearty,524.0
breakfast-zero.text.0,55,breakfast.,500.0
breakfast-zero.text.0,56,The,0.0
breakfast-zero.text.0,57,"waitress,",516.0
breakfast-zero.text.0,58,a,0.0
breakfast-zero.text.0,59,friendly,176.0
breakfast-zero.text.0,60,woman,240.0
breakfast-zero.text.0,61,with,205.0
breakfast-zero.text.0,62,a,0.0
breakfast-zero.text.0,63,warm,185.0
breakfast-zero.text.0,64,"smile,",340.0
breakfast-zero.text.0,65,came,274.0
breakfast-zero.text.0,66,over,228.0
breakfast-zero.text.0,67,to,0.0
breakfast-zero.text.0,68,take,181.0
breakfast-zero.text.0,69,my,125.0
breakfast-zero.text.0,70,order.,0.0
breakfast-zero.text.0,71,"""What",0.0
breakfast-zero.text.0,72,can,114.0
breakfast-zero.text.0,73,I,0.0
breakfast-zero.text.0,74,get,160.0
breakfast-zero.text.0,75,for,203.0
breakfast-zero.text.0,76,"ya,",177.0
breakfast-zero.text.0,77,"hon?""",138.0
breakfast-zero.text.0,78,she,0.0
breakfast-zero.text.0,79,"asked,",357.0
breakfast-zero.text.0,80,her,110.0
breakfast-zero.text.0,81,pen,357.0
breakfast-zero.text.0,82,poised,300.0
breakfast-zero.text.0,83,over,512.0
breakfast-zero.text.0,84,her,0.0
breakfast-zero.text.0,85,notepad.,829.0
breakfast-zero.text.0,86,"""I'll",0.0
breakfast-zero.text.0,87,have,575.0
breakfast-zero.text.0,88,the,193.0
breakfast-zero.text.0,89,eggs,0.0
breakfast-zero.text.0,90,over,323.0
breakfast-zero.text.0,91,"easy,",339.0
breakfast-zero.text.0,92,"toast,",250.0
breakfast-zero.text.0,93,and,0.0
breakfast-zero.text.0,94,a,193.0
breakfast-zero.text.0,95,cup,138.0
breakfast-zero.text.0,96,of,0.0
breakfast-zero.text.0,97,"coffee,",525.0
breakfast-zero.text.0,98,"please,""",150.0
breakfast-zero.text.0,99,I,0.0
breakfast-zero.text.0,100,"replied,",330.0
breakfast-zero.text.0,101,scanning,264.0
breakfast-zero.text.1,102,the,154.0
breakfast-zero.text.1,103,menu,0.0
breakfast-zero.text.1,104,one,396.0
breakfast-zero.text.1,105,last,342.0
breakfast-zero.text.1,106,time.,0.0
breakfast-zero.text.1,107,She,0.0
breakfast-zero.text.1,108,nodded,349.0
breakfast-zero.text.1,109,and,133.0
breakfast-zero.text.1,110,scribbled,468.0
breakfast-zero.text.1,111,down,201.0
breakfast-zero.text.1,112,my,0.0
breakfast-zero.text.1,113,order.,311.0
breakfast-zero.text.1,114,"""Comin'",212.0
breakfast-zero.text.1,115,right,722.0
breakfast-zero.text.1,116,"up!""",0.0
breakfast-zero.text.1,117,she,289.0
breakfast-zero.text.1,118,"said,",271.0
breakfast-zero.text.1,119,disappearing,465.0
breakfast-zero.text.1,120,into,0.0
breakfast-zero.text.1,121,the,136.0
breakfast-zero.text.1,122,kitchen.,114.0
breakfast-zero.text.1,123,A,0.0
breakfast-zero.text.1,124,few,0.0
breakfast-zero.text.1,125,minutes,133.0
breakfast-zero.text.1,126,"later,",176.0
breakfast-zero.text.1,127,she,0.0
breakfast-zero.text.1,128,returned,230.0
breakfast-zero.text.1,129,with,245.0
breakfast-zero.text.1,130,a,0.0
breakfast-zero.text.1,131,plate,145.0
breakfast-zero.text.1,132,piled,0.0
breakfast-zero.text.1,133,high,291.0
breakfast-zero.text.1,134,with,0.0
breakfast-zero.text.1,135,scrambled,290.0
breakfast-zero.text.1,136,"eggs,",177.0
breakfast-zero.text.1,137,crispy,316.0
breakfast-zero.text.1,138,"bacon,",348.0
breakfast-zero.text.1,139,and,0.0
breakfast-zero.text.1,140,a,166.0
breakfast-zero.text.1,141,slice,211.0
breakfast-zero.text.1,142,of,0.0
breakfast-zero.text.1,143,toast.,178.0
breakfast-zero.text.1,144,I,0.0
breakfast-zero.text.1,145,dug,200.0
breakfast-zero.text.1,146,"in,",0.0
breakfast-zero.text.1,147,savoring,212.0
breakfast-zero.text.1,148,the,271.0
breakfast-zero.text.1,149,flavors,102.0
breakfast-zero.text.1,150,and,171.0
breakfast-zero.text.1,151,textures.,328.0
breakfast-zero.text.1,152,But,0.0
breakfast-zero.text.1,153,as,160.0
breakfast-zero.text.1,154,I,0.0
breakfast-zero.text.1,155,reached,265.0
breakfast-zero.text.1,156,for,277.0
breakfast-zero.text.1,157,my,0.0
breakfast-zero.text.1,158,"coffee,",104.0
